"hazard_trend","situation","Naive","Adj","PSM","IPTW","SMR"
"Constant","Conventional","-0.883","-0.147","-0.203","-0.076","-0.169"
"Constant","SMARTS","-0.882","-0.061","-0.124","-0.043","-0.079"
"Increasing","Conventional","-0.664","+0.324","+0.205","+0.296","+0.216"
"Increasing","SMARTS","-0.867","-0.065","-0.139","-0.092","-0.133"
"Decreasing","Conventional","-1.244","-0.941","-0.948","-0.888","-0.958"
"Decreasing","SMARTS","-0.903","-0.093","-0.125","-0.041","-0.103"
