"hazard_trend","situation","Naive","Adj","PSM","IPTW","SMR"
"Constant","Conventional","1.74 (0.10) [+1.036]","0.78 (0.05) [+0.078]","0.85 (0.07) [+0.150]","0.80 (0.08) [+0.101]","0.85 (0.11) [+0.152]"
"Constant","SMARTS","1.75 (0.10) [+1.045]","0.75 (0.05) [+0.047]","0.82 (0.06) [+0.116]","0.77 (0.08) [+0.075]","0.82 (0.10) [+0.119]"
"Increasing","Conventional","2.29 (0.11) [+1.586]","1.06 (0.06) [+0.365]","1.14 (0.07) [+0.439]","1.06 (0.11) [+0.363]","1.15 (0.13) [+0.449]"
"Increasing","SMARTS","1.74 (0.09) [+1.039]","0.76 (0.05) [+0.057]","0.82 (0.05) [+0.120]","0.78 (0.07) [+0.077]","0.82 (0.07) [+0.122]"
"Decreasing","Conventional","0.70 (0.05) [-0.000]","0.31 (0.03) [-0.385]","0.36 (0.04) [-0.342]","0.34 (0.05) [-0.362]","0.35 (0.05) [-0.349]"
"Decreasing","SMARTS","1.61 (0.14) [+0.913]","0.70 (0.07) [-0.001]","0.78 (0.09) [+0.075]","0.73 (0.10) [+0.027]","0.76 (0.13) [+0.060]"
