"hazard_trend","situation","Naive","Adj","PSM","IPTW","SMR"
"Constant","Conventional","0.62 (0.04) [-0.883]","1.35 (0.13) [-0.147]","1.30 (0.15) [-0.203]","1.42 (0.23) [-0.076]","1.33 (0.21) [-0.169]"
"Constant","SMARTS","0.62 (0.04) [-0.882]","1.44 (0.15) [-0.061]","1.38 (0.15) [-0.124]","1.46 (0.23) [-0.043]","1.42 (0.22) [-0.079]"
"Increasing","Conventional","0.84 (0.05) [-0.664]","1.82 (0.13) [+0.324]","1.70 (0.15) [+0.205]","1.80 (0.19) [+0.296]","1.72 (0.26) [+0.216]"
"Increasing","SMARTS","0.63 (0.04) [-0.867]","1.43 (0.10) [-0.065]","1.36 (0.10) [-0.139]","1.41 (0.14) [-0.092]","1.37 (0.18) [-0.133]"
"Decreasing","Conventional","0.26 (0.03) [-1.244]","0.56 (0.08) [-0.941]","0.55 (0.09) [-0.948]","0.61 (0.18) [-0.888]","0.54 (0.11) [-0.958]"
"Decreasing","SMARTS","0.60 (0.07) [-0.903]","1.41 (0.22) [-0.093]","1.38 (0.24) [-0.125]","1.46 (0.46) [-0.041]","1.40 (0.36) [-0.103]"
