"hazard_trend","situation","Naive","Adj","PSM","IPTW","SMR"
"Constant","Conventional","+1.036","+0.078","+0.150","+0.101","+0.152"
"Constant","SMARTS","+1.045","+0.047","+0.116","+0.075","+0.119"
"Increasing","Conventional","+1.586","+0.365","+0.439","+0.363","+0.449"
"Increasing","SMARTS","+1.039","+0.057","+0.120","+0.077","+0.122"
"Decreasing","Conventional","-0.000","-0.385","-0.342","-0.362","-0.349"
"Decreasing","SMARTS","+0.913","-0.001","+0.075","+0.027","+0.060"
